Step,Question,Model_Answer,Score,True_Answer
1,NYT에 삼성전자의 광고가 실린 날은?,26일(현지시간),0.17,삼성전자의 광고가 뉴욕타임스(NYT)에 실린 날은 26일입니다. 이 날 삼성전자는 NYT의 13면부터 20면까지 무려 8개 면에 걸쳐 갤럭시S4의 전면 광고를 실었습니다 [[ref2]].
2,버지니아주 교과서 개정안이 통과된 후 일본 정부의 구체적인 대응 조치는 무엇이었습니까?,주어진 문서에는 버지니아주 교과서 개정안 통과 후 일본 정부의 구체적인 대응 조치에 대한 정보가 포함되어 있지 않습니다.,0.2,검색 결과에는 버지니아주 교과서 개정안이 통과된 후 일본 정부의 구체적인 대응 조치를 찾을 수 없습니다.
3,알바루 시자 비에이라가 설계한 건축물의 이름은?,안양파빌리온,0.2,"포르투갈의 세계적인 건축가 알바루 시자 비에이라가 설계한 건축물의 이름은 ""안양파빌리온""입니다 [[ref2]]."
4,리자베타가 사랑했던 남자의 이름은 무엇이었나요?,문맥 상 리자베타가 사랑했던 남자의 이름은 명시되어 있지 않습니다.,1.0,검색 결과에는 리자베타가 사랑했던 남자의 이름을 찾을 수 없습니다.
5,중국의 재고 거품이 글로벌 경제에 미치는 영향은 무엇인가요?,"중국의 재고 거품은 중국 내 기업의 수익성 악화, 고용 불안, 내수 부진 등 직접적인 문제를 발생시키고, 이로 인해 중국에 진출한 해외 기업들의 실적 저하와 글로벌 투자 위축을 유발합니다. 또한 중국 제조업의 위축으로 원유·구리 등 세계 원자재 수요가 감소하면서 원자재 가격이 하락하고, 러시아∙남미 등 원자재 수출국 경제에도 부정적인 영향을 미칩니다. 중국 증시의 불안정성은 글로벌 금융시장 전체로도 확산되어 미 증시 등 주요국 주가 하락과 투자 심리 위축을 초래합니다. 이처럼 중국 재고 거품은 글로벌 경제 성장 둔화, 투자 감소, 원자재 가격 하락, 고용 불안 등 광범위한 연쇄적 부정적 효과를 야기합니다.",0.97,"중국의 재고 거품은 글로벌 경제에 여러 가지 부정적인 영향을 미치고 있습니다. 

첫째, 중국의 재고 거품은 원자재 시장에 큰 타격을 주고 있습니다. 중국은 세계 최대 원자재 수요국으로, 중국 경제의 둔화와 재고 증가로 인해 원자재 가격이 하락하고 있습니다. 예를 들어, 국제유가는 최근 한 주 동안 10% 가까이 하락했으며, 이는 중국의 경기 부진 우려가 주요 원인으로 작용했습니다. 또한, 구리 가격도 6년 만에 최저 수준으로 떨어졌습니다. 이러한 원자재 가격 하락은 원자재를 수출하는 국가들의 경제에 부정적인 영향을 미치고 있습니다 [[ref2]].

둘째, 중국의 재고 거품은 제조업 부진과 고용 감소로 이어지고 있습니다. 중국 기업들이 예상보다 낮은 성장률로 인해 재고가 급증하면서 수익성이 악화되고, 이에 따라 고용을 줄이고 있습니다. 예를 들어, 세계 최대 PC 제조업체인 레노버는 2분기 순이익이 전년 동기보다 51% 줄어들면서 3299명을 감원하기로 했습니다. 이러한 고용 감소는 노사분규의 급증으로 이어지고 있으며, 이는 중국 내수 시장의 부진을 더욱 심화시키고 있습니다 [[ref4]].

셋째, 중국의 재고 거품은 글로벌 금융 시장에도 영향을 미치고 있습니다. 중국 증시의 변동성이 확대되면서 글로벌 투자자들이 불안감을 느끼고 있으며, 이는 미국과 같은 주요 경제국의 주식 시장에도 부정적인 영향을 미치고 있습니다. 예를 들어, 뉴욕증시에서 S&P500지수와 다우지수가 2% 가까이 떨어진 것도 중국 증시의 거품 붕괴 우려 때문입니다 [[ref2]].

이와 같이, 중국의 재고 거품은 원자재 시장, 제조업, 고용, 그리고 글로벌 금융 시장에 걸쳐 다양한 부정적인 영향을 미치고 있으며, 이는 글로벌 경제의 불확실성을 증가시키고 있습니다."
6,아내가 부자를 괴롭히기 위해 사용한 것은?,술(부자를 자주 술에 취하게 만드는 것),0.6,"아내가 부자를 괴롭히기 위해 사용한 방법은 부자를 술취하게 만드는 것이었습니다. 아내는 부자가 술에 취해 골아 떨어지면 몰래 집을 빠져나와 바람을 피우곤 했습니다. 부자가 이를 알아차리고 미행한 후, 아내는 우물에 몸을 던지는 척하며 부자를 속이고 집에 들어가 문을 잠그는 등의 행동을 통해 부자를 괴롭혔습니다. 이로 인해 부자는 이웃 사람들과 아내의 친정 사람들에게 비난과 폭행을 당하게 되었습니다 [[ref1]]."
7,혜화동에 살 당시 장면의 직책은 무엇이었는가?,혜화동에 살 당시 장면의 직책은 총리(국무총리)였다.,0.95,"장면이 혜화동에 살 당시 그의 직책은 대한민국의 국무총리였습니다. 그는 내각 책임제 하에서 국무총리로 재직 중이었으며, 총리 재직 중에도 혜화동의 작은 집에서 연탄난로를 땔 정도로 소박한 생활을 했습니다. [[ref5]]"
8,디스크 드라이브가 없는 플레이스테이션5는 얼마인가요?,디스크 드라이브가 없는 플레이스테이션5(디지털 에디션)의 가격은 49만 8천원입니다.,1.0,"디스크 드라이브가 없는 플레이스테이션5, 즉 디지털 에디션의 가격은 49만 8천원입니다 [[ref5]]."
9,중세 잉글랜드와 현대 아이오와 주의 농업 방식의 공통점과 차이점은 무엇인가요?,"공통점: 
- 중세 잉글랜드와 현대 아이오와 주 모두 작물의 윤작을 실시했다(잉글랜드는 삼경법, 아이오와는 콩-옥수수 윤작).
- 곡물과 가축 사육 모두 농업의 중심이었다.
- 다양한 작물을 함께 재배하고, 여러 종류의 가축을 키웠다.

차이점:
- 중세 잉글랜드는 토양의 비옥함을 유지하기 위해 밭을 휴경지로 남겼지만 아이오와는 비료 사용 등으로 대규모 집약적 경작이 가능하다.
- 농업 방식이 잉글랜드는 수작업과 공동체/영주 중심적이지만, 아이오와는 기계화, 대규모 경영, 시장지향적이다.
- 잉글랜드는 주로 식량 자급과 생활을 위한 농업, 아이오와는 사료용 곡물과 산업적 대량 생산 중심이다.
- 잉글랜드는 농기구를 위한 가축 보유가 제한적이었고 협동이 필요했으나, 아이오와는 기계화 및 다수의 대형가축 사육이 특징이다.
- 잉글랜드의 곡물은 환금과 내수 양면성이 강하나, 아이오와는 사료 공급과 단일 품목 집중의 성격이 두드러진다.",0.92,"중세 잉글랜드와 현대 아이오와 주의 농업 방식에는 몇 가지 공통점과 차이점이 있습니다.

**공통점:**
1. **작물의 다양성**: 두 지역 모두 다양한 작물을 재배합니다. 중세 잉글랜드에서는 밀, 보리, 귀리, 협과, 호밀, 아마, 사과, 채소 등을 재배했으며, 현대 아이오와 주에서는 옥수수, 콩, 귀리, 밀, 사과, 아스파라거스, 양배추, 완두콩, 호박, 사탕무, 토마토 등을 재배합니다 [[ref1]], [[ref3]].
2. **가축 사육**: 두 지역 모두 가축을 사육합니다. 중세 잉글랜드에서는 양, 돼지, 소, 말, 가금류를 길렀고, 현대 아이오와 주에서는 돼지, 소, 젖소, 닭, 칠면조, 양, 말을 사육합니다 [[ref1]], [[ref3]].
3. **윤작**: 중세 잉글랜드에서는 삼경법을 사용하여 밭을 순환하며 경작하고 휴경지를 두어 토양의 양분을 회복시켰습니다. 현대 아이오와 주에서도 콩과 옥수수를 윤작하여 토양의 영양 균형을 유지합니다 [[ref1]], [[ref3]].

**차이점:**
1. **주요 작물**: 중세 잉글랜드의 주요 작물은 밀과 보리였으며, 현대 아이오와 주의 주요 작물은 옥수수와 콩입니다 [[ref1]], [[ref3]].
2. **농업 기술**: 중세 잉글랜드에서는 퇴비나 비료가 부족하여 휴경지를 두어 자연적으로 토양의 양분을 회복시켰습니다. 반면, 현대 아이오와 주에서는 현대적인 농업 기술과 비료를 사용하여 토양의 영양을 관리합니다 [[ref1]], [[ref3]].
3. **기계화**: 중세 잉글랜드에서는 주로 인력과 동물의 힘을 이용하여 농사를 지었으며, 쟁기를 끌기 위해 소나 말을 사용했습니다. 현대 아이오와 주에서는 트랙터와 같은 기계화된 장비를 사용하여 농업 생산성을 높입니다 [[ref1]], [[ref3]].

이와 같이 중세 잉글랜드와 현대 아이오와 주의 농업 방식은 작물의 다양성과 가축 사육, 윤작 등의 공통점을 가지지만, 주요 작물, 농업 기술, 기계화 등의 차이점도 존재합니다."
10,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는?,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는 15일입니다.,1.0,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는 15일입니다 [[ref2]].
11,아내가 부자를 괴롭히기 위해 사용한 것은?,술,0.06,"아내가 부자를 괴롭히기 위해 사용한 방법은 부자를 술취하게 만드는 것이었습니다. 아내는 부자가 술에 취해 골아 떨어지면 몰래 집을 빠져나와 바람을 피우곤 했습니다. 부자가 이를 알아차리고 미행한 후, 아내는 우물에 몸을 던지는 척하며 부자를 속이고 집에 들어가 문을 잠그는 등의 행동을 통해 부자를 괴롭혔습니다. 이로 인해 부자는 이웃 사람들과 아내의 친정 사람들에게 비난과 폭행을 당하게 되었습니다 [[ref1]]."
12,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는?,15일,1.0,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는 15일입니다 [[ref2]].
13,디스크 드라이브가 없는 플레이스테이션5는 얼마인가요?,디스크 드라이브가 없는 플레이스테이션5(디지털 에디션)은 49만 8천원입니다.,1.0,"디스크 드라이브가 없는 플레이스테이션5, 즉 디지털 에디션의 가격은 49만 8천원입니다 [[ref5]]."
14,혜화동에 살 당시 장면의 직책은 무엇이었는가?,혜화동에 살 당시 장면의 직책은 국무총리였습니다.,0.9,"장면이 혜화동에 살 당시 그의 직책은 대한민국의 국무총리였습니다. 그는 내각 책임제 하에서 국무총리로 재직 중이었으며, 총리 재직 중에도 혜화동의 작은 집에서 연탄난로를 땔 정도로 소박한 생활을 했습니다. [[ref5]]"
15,중세 잉글랜드와 현대 아이오와 주의 농업 방식의 공통점과 차이점은 무엇인가요?,"공통점은 곡물과 가축을 함께 기르는 혼합농업이 이루어진다는 점, 곡물의 일부 품종은 유사하다는 점(밀, 보리, 귀리 등), 그리고 토양 관리를 위해 경작 방식을 순환하는 점(삼경법, 윤작)이 있습니다.

차이점은 중세 잉글랜드에서는 휴경과 삼경법 등 전통적 방식과 영주의 지배, 협동적 작업이 중요했으며 자급자족이 중심이었던 반면, 현대 아이오와 주는 비료와 기계 등 현대적 기술을 활용한 대규모 상업 농업으로, 상품 생산과 효율에 초점을 둔다는 점, 그리고 사회적 제도와 가축 소유 방식에서도 큰 차이가 있다는 점입니다.",0.92,"중세 잉글랜드와 현대 아이오와 주의 농업 방식에는 몇 가지 공통점과 차이점이 있습니다.

**공통점:**
1. **작물의 다양성**: 두 지역 모두 다양한 작물을 재배합니다. 중세 잉글랜드에서는 밀, 보리, 귀리, 협과, 호밀, 아마, 사과, 채소 등을 재배했으며, 현대 아이오와 주에서는 옥수수, 콩, 귀리, 밀, 사과, 아스파라거스, 양배추, 완두콩, 호박, 사탕무, 토마토 등을 재배합니다 [[ref1]], [[ref3]].
2. **가축 사육**: 두 지역 모두 가축을 사육합니다. 중세 잉글랜드에서는 양, 돼지, 소, 말, 가금류를 길렀고, 현대 아이오와 주에서는 돼지, 소, 젖소, 닭, 칠면조, 양, 말을 사육합니다 [[ref1]], [[ref3]].
3. **윤작**: 중세 잉글랜드에서는 삼경법을 사용하여 밭을 순환하며 경작하고 휴경지를 두어 토양의 양분을 회복시켰습니다. 현대 아이오와 주에서도 콩과 옥수수를 윤작하여 토양의 영양 균형을 유지합니다 [[ref1]], [[ref3]].

**차이점:**
1. **주요 작물**: 중세 잉글랜드의 주요 작물은 밀과 보리였으며, 현대 아이오와 주의 주요 작물은 옥수수와 콩입니다 [[ref1]], [[ref3]].
2. **농업 기술**: 중세 잉글랜드에서는 퇴비나 비료가 부족하여 휴경지를 두어 자연적으로 토양의 양분을 회복시켰습니다. 반면, 현대 아이오와 주에서는 현대적인 농업 기술과 비료를 사용하여 토양의 영양을 관리합니다 [[ref1]], [[ref3]].
3. **기계화**: 중세 잉글랜드에서는 주로 인력과 동물의 힘을 이용하여 농사를 지었으며, 쟁기를 끌기 위해 소나 말을 사용했습니다. 현대 아이오와 주에서는 트랙터와 같은 기계화된 장비를 사용하여 농업 생산성을 높입니다 [[ref1]], [[ref3]].

이와 같이 중세 잉글랜드와 현대 아이오와 주의 농업 방식은 작물의 다양성과 가축 사육, 윤작 등의 공통점을 가지지만, 주요 작물, 농업 기술, 기계화 등의 차이점도 존재합니다."
16,디스크 드라이브가 없는 플레이스테이션5는 얼마인가요?,디스크 드라이브가 없는 플레이스테이션5(디지털 에디션)는 49만 8천원입니다.,1.0,"디스크 드라이브가 없는 플레이스테이션5, 즉 디지털 에디션의 가격은 49만 8천원입니다 [[ref5]]."
17,아내가 부자를 괴롭히기 위해 사용한 것은?,부자를 술에 취하게 만드는 것(술)을 사용했습니다.,0.5,"아내가 부자를 괴롭히기 위해 사용한 방법은 부자를 술취하게 만드는 것이었습니다. 아내는 부자가 술에 취해 골아 떨어지면 몰래 집을 빠져나와 바람을 피우곤 했습니다. 부자가 이를 알아차리고 미행한 후, 아내는 우물에 몸을 던지는 척하며 부자를 속이고 집에 들어가 문을 잠그는 등의 행동을 통해 부자를 괴롭혔습니다. 이로 인해 부자는 이웃 사람들과 아내의 친정 사람들에게 비난과 폭행을 당하게 되었습니다 [[ref1]]."
18,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는?,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는 15일입니다.,1.0,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는 15일입니다 [[ref2]].
19,혜화동에 살 당시 장면의 직책은 무엇이었는가?,혜화동에 살 당시 장면의 직책은 국무총리였다.,0.92,"장면이 혜화동에 살 당시 그의 직책은 대한민국의 국무총리였습니다. 그는 내각 책임제 하에서 국무총리로 재직 중이었으며, 총리 재직 중에도 혜화동의 작은 집에서 연탄난로를 땔 정도로 소박한 생활을 했습니다. [[ref5]]"
20,중세 잉글랜드와 현대 아이오와 주의 농업 방식의 공통점과 차이점은 무엇인가요?,"공통점:
- 다양한 곡물과 가축을 재배·사육함
- 토양의 영양을 유지하기 위해 윤작(아이오와) 또는 휴경·삼경법(잉글랜드) 사용

차이점:
- 중세 잉글랜드는 인력과 사역 가축에 의존, 삼경법 활용, 곡물은 식량 및 일부 거래용
- 아이오와 주는 기계화된 대규모 농업, 옥수수·콩이 주 작물이며 주로 가축 사료와 산업적으로 사용
- 잉글랜드는 가축 소유가 제한적이며 공동작업 필요, 아이오와는 대규모 사육과 현대적 가축 관리 및 생산체계
- 생산의 목적과 규모에서 중세 잉글랜드는 자급자족·지역 중심, 아이오와는 시장 및 산업 중심의 상업적 농업임",0.92,"중세 잉글랜드와 현대 아이오와 주의 농업 방식에는 몇 가지 공통점과 차이점이 있습니다.

**공통점:**
1. **작물의 다양성**: 두 지역 모두 다양한 작물을 재배합니다. 중세 잉글랜드에서는 밀, 보리, 귀리, 협과, 호밀, 아마, 사과, 채소 등을 재배했으며, 현대 아이오와 주에서는 옥수수, 콩, 귀리, 밀, 사과, 아스파라거스, 양배추, 완두콩, 호박, 사탕무, 토마토 등을 재배합니다 [[ref1]], [[ref3]].
2. **가축 사육**: 두 지역 모두 가축을 사육합니다. 중세 잉글랜드에서는 양, 돼지, 소, 말, 가금류를 길렀고, 현대 아이오와 주에서는 돼지, 소, 젖소, 닭, 칠면조, 양, 말을 사육합니다 [[ref1]], [[ref3]].
3. **윤작**: 중세 잉글랜드에서는 삼경법을 사용하여 밭을 순환하며 경작하고 휴경지를 두어 토양의 양분을 회복시켰습니다. 현대 아이오와 주에서도 콩과 옥수수를 윤작하여 토양의 영양 균형을 유지합니다 [[ref1]], [[ref3]].

**차이점:**
1. **주요 작물**: 중세 잉글랜드의 주요 작물은 밀과 보리였으며, 현대 아이오와 주의 주요 작물은 옥수수와 콩입니다 [[ref1]], [[ref3]].
2. **농업 기술**: 중세 잉글랜드에서는 퇴비나 비료가 부족하여 휴경지를 두어 자연적으로 토양의 양분을 회복시켰습니다. 반면, 현대 아이오와 주에서는 현대적인 농업 기술과 비료를 사용하여 토양의 영양을 관리합니다 [[ref1]], [[ref3]].
3. **기계화**: 중세 잉글랜드에서는 주로 인력과 동물의 힘을 이용하여 농사를 지었으며, 쟁기를 끌기 위해 소나 말을 사용했습니다. 현대 아이오와 주에서는 트랙터와 같은 기계화된 장비를 사용하여 농업 생산성을 높입니다 [[ref1]], [[ref3]].

이와 같이 중세 잉글랜드와 현대 아이오와 주의 농업 방식은 작물의 다양성과 가축 사육, 윤작 등의 공통점을 가지지만, 주요 작물, 농업 기술, 기계화 등의 차이점도 존재합니다."
21,디스크 드라이브가 없는 플레이스테이션5는 얼마인가요?,디스크 드라이브가 없는 플레이스테이션5(디지털 에디션)의 가격은 49만 8천원입니다.,1.0,"디스크 드라이브가 없는 플레이스테이션5, 즉 디지털 에디션의 가격은 49만 8천원입니다 [[ref5]]."
22,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는?,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는 15일입니다.,1.0,한신공영이 시흥배곧 한신휴플러스를 분양하는 날짜는 15일입니다 [[ref2]].
23,중세 잉글랜드와 현대 아이오와 주의 농업 방식의 공통점과 차이점은 무엇인가요?,"중세 잉글랜드와 현대 아이오와 주의 농업은 주로 곡물을 중심으로 다양한 작물을 재배하고 가축을 사육하며, 토양의 양분을 유지하려는 노력이 있다는 점에서 공통점이 있습니다. 하지만 중세 잉글랜드는 제한된 비료로 인해 삼경법을 통한 휴경과 집단적 경작이 특징이며, 주요 곡물이 식량에 집중되어 있었습니다. 반면 현대 아이오와는 비료와 기계화로 효율이 높고, 옥수수와 콩의 대규모 재배 및 가축 사료 위주, 독립적·기계화된 경작법 등이 특징입니다. 또한 아이오와는 돼지, 소, 닭 등 가축의 사육 규모가 크고, 곡물의 상당 부분이 가축 사료나 산업 원료로 쓰인다는 점에서 현저한 차이가 있습니다.",0.92,"중세 잉글랜드와 현대 아이오와 주의 농업 방식에는 몇 가지 공통점과 차이점이 있습니다.

**공통점:**
1. **작물의 다양성**: 두 지역 모두 다양한 작물을 재배합니다. 중세 잉글랜드에서는 밀, 보리, 귀리, 협과, 호밀, 아마, 사과, 채소 등을 재배했으며, 현대 아이오와 주에서는 옥수수, 콩, 귀리, 밀, 사과, 아스파라거스, 양배추, 완두콩, 호박, 사탕무, 토마토 등을 재배합니다 [[ref1]], [[ref3]].
2. **가축 사육**: 두 지역 모두 가축을 사육합니다. 중세 잉글랜드에서는 양, 돼지, 소, 말, 가금류를 길렀고, 현대 아이오와 주에서는 돼지, 소, 젖소, 닭, 칠면조, 양, 말을 사육합니다 [[ref1]], [[ref3]].
3. **윤작**: 중세 잉글랜드에서는 삼경법을 사용하여 밭을 순환하며 경작하고 휴경지를 두어 토양의 양분을 회복시켰습니다. 현대 아이오와 주에서도 콩과 옥수수를 윤작하여 토양의 영양 균형을 유지합니다 [[ref1]], [[ref3]].

**차이점:**
1. **주요 작물**: 중세 잉글랜드의 주요 작물은 밀과 보리였으며, 현대 아이오와 주의 주요 작물은 옥수수와 콩입니다 [[ref1]], [[ref3]].
2. **농업 기술**: 중세 잉글랜드에서는 퇴비나 비료가 부족하여 휴경지를 두어 자연적으로 토양의 양분을 회복시켰습니다. 반면, 현대 아이오와 주에서는 현대적인 농업 기술과 비료를 사용하여 토양의 영양을 관리합니다 [[ref1]], [[ref3]].
3. **기계화**: 중세 잉글랜드에서는 주로 인력과 동물의 힘을 이용하여 농사를 지었으며, 쟁기를 끌기 위해 소나 말을 사용했습니다. 현대 아이오와 주에서는 트랙터와 같은 기계화된 장비를 사용하여 농업 생산성을 높입니다 [[ref1]], [[ref3]].

이와 같이 중세 잉글랜드와 현대 아이오와 주의 농업 방식은 작물의 다양성과 가축 사육, 윤작 등의 공통점을 가지지만, 주요 작물, 농업 기술, 기계화 등의 차이점도 존재합니다."
24,혜화동에 살 당시 장면의 직책은 무엇이었는가?,장면이 혜화동에 살던 당시 그의 직책은 대한민국 국무총리(총리)였다.,0.97,"장면이 혜화동에 살 당시 그의 직책은 대한민국의 국무총리였습니다. 그는 내각 책임제 하에서 국무총리로 재직 중이었으며, 총리 재직 중에도 혜화동의 작은 집에서 연탄난로를 땔 정도로 소박한 생활을 했습니다. [[ref5]]"
25,아내가 부자를 괴롭히기 위해 사용한 것은?,아내가 부자를 괴롭히기 위해 사용한 것은 남편에게 술을 권하여 일부러 취하게 하는 것이었다.,0.6,"아내가 부자를 괴롭히기 위해 사용한 방법은 부자를 술취하게 만드는 것이었습니다. 아내는 부자가 술에 취해 골아 떨어지면 몰래 집을 빠져나와 바람을 피우곤 했습니다. 부자가 이를 알아차리고 미행한 후, 아내는 우물에 몸을 던지는 척하며 부자를 속이고 집에 들어가 문을 잠그는 등의 행동을 통해 부자를 괴롭혔습니다. 이로 인해 부자는 이웃 사람들과 아내의 친정 사람들에게 비난과 폭행을 당하게 되었습니다 [[ref1]]."
