episode,sample_index,question,action_prompt,reference,prediction,score,context
1,1,AIA생명이 새롭게 건설한 건물의 층 수는?,"질문에 대한 답변은 주어진 문서를 근거로 사실적으로 작성하며, 핵심 결론을 먼저 제시하는 두괄식 구조를 사용하십시오. 이후 추가 설명과 세부 정보를 논리적으로 덧붙이고, 문장은 명확하고 간결하게 유지하며 불필요한 정보나 추측은 포함하지 마십시오. 전문적이고 중립적인 어조를 유지하되, 독자가 이해하기 쉽게 표현하고, 중요한 용어와 수치는 구체적으로 제시하십시오. 답변은 문단 구성을 명확히 하여 읽기 편하게 작성하십시오.",AIA생명이 새롭게 건설한 건물의 층 수는 27층입니다 [[ref1]].,"AIA생명이 새롭게 건설한 건물은 **27층**입니다.  

참고 문서에 따르면, AIA생명은 서울 호암아트홀 바로 옆에 2000억 원을 들여 27층 규모의 신사옥을 마련했습니다. 이 중 자사 사용 공간은 4개 층에 불과하며, 나머지 층은 임대해야 하는 상황입니다.",0.8690184276472108,
1,2,이전에 개설된 해외 법인 계좌 중 국세청에 공유되지 않을 금액 기준,"질문에 대한 답변은 주어진 문서를 근거로 사실적으로 작성하며, 핵심 결론을 먼저 제시하는 두괄식 구조를 사용하십시오. 이후 추가 설명과 세부 정보를 논리적으로 덧붙이고, 문장은 명확하고 간결하게 유지하며 불필요한 정보나 추측은 포함하지 마십시오. 전문적이고 중립적인 어조를 유지하되, 독자가 이해하기 쉽게 표현하고, 중요한 용어와 수치는 구체적으로 제시하십시오. 답변은 문단 구성을 명확히 하여 읽기 편하게 작성하십시오.","이전에 개설된 해외 법인 계좌 중 국세청에 공유되지 않을 금액 기준은 기존 계좌의 경우 예금 25만 달러 미만입니다. 신규 계좌는 금액에 관계없이 모두 정보 교환 대상입니다. 이는 한국과 여러 국가 간의 다자간 조세정보자동교환협정에 따른 조치로, 국세청은 2017년 9월부터 세계 여러 국가의 한국인과 한국 법인 은행 계좌 정보를 정기적으로 받아보고 있습니다 [[ref5]].","이전에 개설된 해외 법인 계좌는 **예금 25만 달러 미만**인 경우 국세청에 금융정보가 공유되지 않습니다.  

이는 2017년부터 시행되는 ‘다자간 조세정보자동교환협정’에 따른 규정으로, 개인 계좌는 모든 계좌가 정보 교환 대상이지만 법인 계좌의 경우 기존 계좌는 예금 잔액이 25만 달러 이상일 때만 공유 대상에 포함됩니다. 신규로 개설된 법인 계좌는 금액에 관계없이 모두 정보 교환 대상입니다.",0.8784379375479643,
1,3,김대현이 2월에 전지훈련을 한 나라는?,"질문에 대한 답변은 주어진 문서를 근거로 사실적으로 작성하며, 핵심 결론을 먼저 제시하는 두괄식 구조를 사용하십시오. 이후 추가 설명과 세부 정보를 논리적으로 덧붙이고, 문장은 명확하고 간결하게 유지하며 불필요한 정보나 추측은 포함하지 마십시오. 전문적이고 중립적인 어조를 유지하되, 독자가 이해하기 쉽게 표현하고, 중요한 용어와 수치는 구체적으로 제시하십시오. 답변은 문단 구성을 명확히 하여 읽기 편하게 작성하십시오.",김대현은 2월에 말레이시아에서 전지훈련을 진행했습니다 [[ref1]].,"김대현은 2월에 **말레이시아**에서 전지훈련을 했다.  

그는 1월 말부터 3월 초까지 말레이시아에서 전지훈련을 진행하며 쇼트게임 능력 향상에 집중했다. 특히 그린 주변 플레이 개선을 위해 러닝 어프로치샷 거리 조절과 2~3m 단거리 퍼트 훈련에 힘을 쏟았다.",0.7622685656682001,
1,4,무용인 한마음 축제에서 공연된 첫 작품의 전체 연출 시간은?,"질문에 대한 답변은 주어진 문서를 근거로 사실적으로 작성하며, 핵심 결론을 먼저 제시하는 두괄식 구조를 사용하십시오. 이후 추가 설명과 세부 정보를 논리적으로 덧붙이고, 문장은 명확하고 간결하게 유지하며 불필요한 정보나 추측은 포함하지 마십시오. 전문적이고 중립적인 어조를 유지하되, 독자가 이해하기 쉽게 표현하고, 중요한 용어와 수치는 구체적으로 제시하십시오. 답변은 문단 구성을 명확히 하여 읽기 편하게 작성하십시오.",검색 결과에는 무용인 한마음 축제에서 공연된 첫 작품의 전체 연출 시간을 찾을 수 없습니다.,"무용인 한마음 축제에서 공연된 첫 작품인 서울발레시어터의 **‘생명의 선’**은 **모던발레 2인무**로, 전체 연출 시간은 **약 15분**입니다.  

이 작품은 생명 출산의 아픔을 표현한 내용으로, 서울발레시어터 창립단원인 정운식과 조현경이 함께 무대를 꾸몄습니다.",0.41355462729698256,
1,5,서울FC 대표선발전 끝나는 날은 며칠인가?,"질문에 대한 답변은 주어진 문서를 근거로 사실적으로 작성하며, 핵심 결론을 먼저 제시하는 두괄식 구조를 사용하십시오. 이후 추가 설명과 세부 정보를 논리적으로 덧붙이고, 문장은 명확하고 간결하게 유지하며 불필요한 정보나 추측은 포함하지 마십시오. 전문적이고 중립적인 어조를 유지하되, 독자가 이해하기 쉽게 표현하고, 중요한 용어와 수치는 구체적으로 제시하십시오. 답변은 문단 구성을 명확히 하여 읽기 편하게 작성하십시오.",서울FC 대표선발전은 11월 22일(일)까지 진행됩니다 [[ref1]].,"서울FC 대표선발전은 14개 구단의 대표선발전 일정에 포함되어 있으며, 이 일정은 **2020년 11월 22일(일)**까지 진행됩니다.  

즉, 서울FC 대표선발전은 2020년 11월 22일에 종료됩니다.  
이는 남은 구단 대표 선발전 종료일이 명시된 참고 문서의 내용을 근거로 한 결론입니다.",0.8202978588434486,
2,1,정량 지표 1위 업체의 정성 평가 등수는?,"질문에 대한 답변은 반드시 제공된 문서에서 확인된 정보만을 사용하여 작성하십시오. 문서에 해당 사실이나 수치가 명시되지 않은 경우, “검색 결과에서 관련 정보를 찾을 수 없습니다”와 같이 명확히 정보를 찾을 수 없음을 먼저 서술하고, 추측이나 가정은 절대 포함하지 마십시오. 핵심 결론을 첫 문장에 두괄식으로 제시하며, 필요 시 추가 설명을 간결하고 논리적으로 덧붙이십시오. 전문적이고 중립적인 어조를 유지하고, 문장은 명확하게 구성하여 독자가 쉽게 이해할 수 있도록 하십시오.","정량 지표에서 1위를 차지한 업체는 신한생명입니다. 신한생명은 자산운용 수익률, 부실자산 비율, 위험가중자산 비율, 금리리스크 비율 등 기준을 가중 평가한 정량 지표에서 생명보험업계 1위로 평가되었습니다. 정성 평가에서도 4개 지표 중 3개 분야에서 'A등급'을 획득해 2위를 기록했습니다. 따라서 정량 지표 1위 업체인 신한생명의 정성 평가 등수는 2위입니다 [[ref1]].",정량 지표 1위 업체인 신한생명의 정성 평가는 2위입니다.,0.783968473468682,
2,2,SK그룹의 최태원 회장이 감옥에서 출소한 이후 첫 번째로 진행한 사업은 무엇이야?,"질문에 대한 답변은 반드시 제공된 문서에서 확인된 정보만을 사용하여 작성하십시오. 문서에 해당 사실이나 수치가 명시되지 않은 경우, “검색 결과에서 관련 정보를 찾을 수 없습니다”와 같이 명확히 정보를 찾을 수 없음을 먼저 서술하고, 추측이나 가정은 절대 포함하지 마십시오. 핵심 결론을 첫 문장에 두괄식으로 제시하며, 필요 시 추가 설명을 간결하고 논리적으로 덧붙이십시오. 전문적이고 중립적인 어조를 유지하고, 문장은 명확하게 구성하여 독자가 쉽게 이해할 수 있도록 하십시오.",검색 결과에는 최태원 SK그룹 회장이 감옥에서 출소한 이후 첫 번째로 진행한 사업에 대한 내용을 찾을 수 없습니다.,검색 결과에서 관련 정보를 찾을 수 없습니다.,0.4359268303185013,
2,3,진기마을 느티나무의 제사 방식은 어떻게 변화해왔나요?,"질문에 대한 답변은 반드시 제공된 문서에서 확인된 정보만을 사용하여 작성하십시오. 문서에 해당 사실이나 수치가 명시되지 않은 경우, “검색 결과에서 관련 정보를 찾을 수 없습니다”와 같이 명확히 정보를 찾을 수 없음을 먼저 서술하고, 추측이나 가정은 절대 포함하지 마십시오. 핵심 결론을 첫 문장에 두괄식으로 제시하며, 필요 시 추가 설명을 간결하고 논리적으로 덧붙이십시오. 전문적이고 중립적인 어조를 유지하고, 문장은 명확하게 구성하여 독자가 쉽게 이해할 수 있도록 하십시오.",검색 결과에는 진기마을 느티나무의 제사 방식이 어떻게 변화해왔는지에 대한 정보를 찾을 수 없습니다.,검색 결과에서 관련 정보를 찾을 수 없습니다.,0.5433850289422131,
2,4,하버드에 3578억원을 기부한 회사는?,"질문에 대한 답변은 반드시 제공된 문서에서 확인된 정보만을 사용하여 작성하십시오. 문서에 해당 사실이나 수치가 명시되지 않은 경우, “검색 결과에서 관련 정보를 찾을 수 없습니다”와 같이 명확히 정보를 찾을 수 없음을 먼저 서술하고, 추측이나 가정은 절대 포함하지 마십시오. 핵심 결론을 첫 문장에 두괄식으로 제시하며, 필요 시 추가 설명을 간결하고 논리적으로 덧붙이십시오. 전문적이고 중립적인 어조를 유지하고, 문장은 명확하게 구성하여 독자가 쉽게 이해할 수 있도록 하십시오.","하버드에 3578억원을 기부한 회사는 홍콩 부동산 개발업체 항룽그룹입니다. 이 기부는 항룽그룹의 로니 챈 회장과 제럴드 챈 이사 형제가 하버드대에 대학 설립 이후 최대 금액을 기부한 것으로, 이들의 기부액은 3578억원 상당입니다 [[ref2]].",하버드대에 3578억원을 기부한 회사는 홍콩 부동산 개발업체 **항룽그룹**입니다.,0.9125309971704015,
2,5,다음 달 전국에서 아파트 공급이 두 번째로 많은 지역은?,"질문에 대한 답변은 반드시 제공된 문서에서 확인된 정보만을 사용하여 작성하십시오. 문서에 해당 사실이나 수치가 명시되지 않은 경우, “검색 결과에서 관련 정보를 찾을 수 없습니다”와 같이 명확히 정보를 찾을 수 없음을 먼저 서술하고, 추측이나 가정은 절대 포함하지 마십시오. 핵심 결론을 첫 문장에 두괄식으로 제시하며, 필요 시 추가 설명을 간결하고 논리적으로 덧붙이십시오. 전문적이고 중립적인 어조를 유지하고, 문장은 명확하게 구성하여 독자가 쉽게 이해할 수 있도록 하십시오.",다음 달 전국에서 아파트 공급이 두 번째로 많은 지역은 경남입니다. 경남은 8853가구가 공급될 예정입니다. [[ref5]],"다음 달 전국에서 아파트 공급이 두 번째로 많은 지역은 **경남**입니다.  
참고 문서에 따르면 지역별 공급 물량은 경기가 2만1919가구로 가장 많고, 그 다음이 경남 8853가구입니다.",0.9110744666164162,
